import time: self [us] | cumulative | imported package
import time:       238 |        238 |                                   async_timeout
import time:       165 |        165 |                                   aiohttp.log
import time:       126 |        126 |                                   aiohttp._helpers
import time:      4466 |       5508 |                                 aiohttp.helpers
import time:       379 |        379 |                                   aiohttp.abc
import time:       114 |        114 |                                   aiohttp._http_writer
import time:       299 |        791 |                                 aiohttp.http_writer
import time:       524 |        524 |                                 aiohttp.streams
import time:       136 |        136 |                                 brotli
import time:       138 |        138 |                                   backports_abc
import time:       307 |        444 |                                 aiohttp._http_parser
import time:      1159 |       8789 |                               aiohttp.http_parser
import time:       109 |        109 |                                 aiohttp._websocket
import time:      6109 |       6218 |                               aiohttp.http_websocket
import time:       125 |      21603 |                             aiohttp.http
import time:       679 |        679 |                             aiohttp.payload
import time:       499 |        499 |                             aiohttp.client_exceptions
import time:       917 |        917 |                               aiohttp.multipart
import time:       161 |        161 |                               aiohttp.formdata
import time:       139 |        139 |                               cchardet
import time:      2655 |       3871 |                             aiohttp.client_reqrep
import time:       183 |        183 |                             aiohttp.client_ws
import time:       203 |        203 |                               aiohttp.client_proto
import time:       110 |        110 |                               aiohttp.locks
import time:       138 |        138 |                                 aiodns
import time:       157 |        294 |                               aiohttp.resolver
import time:       722 |       1328 |                             aiohttp.connector
import time:       291 |        291 |                                 _compat_pickle
import time:       210 |        210 |                                 _pickle
import time:       130 |        130 |                                     org
import time:        12 |        141 |                                   org.python
import time:        13 |        154 |                                 org.python.core
import time:       689 |       1341 |                               pickle
import time:       949 |       2289 |                             aiohttp.cookiejar
import time:       146 |        146 |                                   aiohttp._frozenlist
import time:       142 |        287 |                                 aiohttp.frozenlist
import time:       107 |        394 |                               aiohttp.signals
import time:      4605 |       4998 |                             aiohttp.tracing
import time:      1481 |      42564 |                           aiohttp.client
import time:       208 |        208 |                           aiohttp.payload_streamer
import time:       130 |        130 |                               gunicorn
import time:        14 |        144 |                             gunicorn.config
import time:       131 |        275 |                           aiohttp.worker
import time:       247 |      43495 |                         aiohttp
import time:       288 |      43916 |                       azure.core.pipeline.transport._aiohttp
import time:       189 |      47145 |                     azure.storage.blob._shared.authentication
import time:       103 |        103 |                       azure.storage.blob._shared.parser
import time:       163 |        265 |                     azure.storage.blob._shared.shared_access_signature
import time:       133 |        133 |                     azure.storage.blob._shared.request_handlers
import time:       138 |        138 |                         wsgiref
import time:       134 |        134 |                         wsgiref.util
import time:       135 |        135 |                         wsgiref.headers
import time:       472 |        878 |                       wsgiref.handlers
import time:       422 |       1299 |                     azure.storage.blob._shared.policies
import time:       170 |        170 |                     azure.storage.blob._shared.response_handlers
import time:       296 |      78428 |                   azure.storage.blob._shared.base_client
import time:       122 |        122 |                           cryptography.__about__
import time:       151 |        272 |                         cryptography
import time:        91 |        363 |                       cryptography.hazmat
import time:       123 |        485 |                     cryptography.hazmat.backends
import time:        85 |         85 |                       cryptography.hazmat.primitives
import time:       178 |        178 |                         cryptography.utils
import time:       300 |        300 |                         cryptography.exceptions
import time:       389 |        389 |                         cryptography.hazmat.backends.interfaces
import time:       146 |        146 |                         cryptography.hazmat.primitives._cipheralgorithm
import time:       299 |        299 |                         cryptography.hazmat.primitives.ciphers.modes
import time:       726 |       2035 |                       cryptography.hazmat.primitives.ciphers.base
import time:       131 |       2250 |                     cryptography.hazmat.primitives.ciphers
import time:       304 |        304 |                     cryptography.hazmat.primitives.ciphers.algorithms
import time:        92 |         92 |                         cryptography.hazmat.bindings
import time:       305 |        305 |                         _cffi_backend
import time:       120 |        516 |                       cryptography.hazmat.bindings._padding
import time:       262 |        777 |                     cryptography.hazmat.primitives.padding
import time:       198 |       4012 |                   azure.storage.blob._shared.encryption
import time:       282 |        282 |                   azure.storage.blob._shared.uploads
import time:       229 |        229 |                       azure.core.paging
import time:      1349 |       1578 |                     azure.storage.blob._models
import time:       140 |       1718 |                   azure.storage.blob._serialize
import time:       137 |        137 |                   azure.storage.blob._deserialize
import time:        95 |         95 |                       azure.storage.blob._shared.avro
import time:       780 |        780 |                         azure.storage.blob._shared.avro.schema
import time:       199 |        979 |                       azure.storage.blob._shared.avro.avro_io
import time:       299 |       1372 |                     azure.storage.blob._shared.avro.datafile
import time:       176 |       1547 |                   azure.storage.blob._quick_query_helper
import time:       139 |        139 |                   azure.storage.blob._upload_helpers
import time:       210 |        210 |                   azure.storage.blob._download
import time:       153 |        153 |                   azure.storage.blob._lease
import time:       997 |      87936 |                 azure.storage.blob._blob_client
import time:       216 |        216 |                   azure.storage.blob._list_blobs_helper
import time:       319 |        534 |                 azure.storage.blob._container_client
import time:       270 |        270 |                 azure.storage.blob._blob_service_client
import time:       173 |        173 |                 azure.storage.blob._shared_access_signature
import time:       209 |      89308 |               azure.storage.blob
import time:       245 |     100013 |             determined.common.storage.azure_client
import time:       168 |     100394 |           determined.common.storage.azure
import time:       121 |        121 |                 google.api_core.version
import time:       245 |        365 |               google.api_core
import time:       125 |        125 |                 grpc._cython
import time:       142 |        142 |                   backports_abc
import time:        31 |         31 |                   grpc._cython.logging
import time:        28 |         28 |                   grpc._cython.os
import time:        28 |         28 |                   grpc._cython.sys
import time:        27 |         27 |                   grpc._cython.threading
import time:        28 |         28 |                   grpc._cython.time
import time:        27 |         27 |                   grpc._cython.grpc
import time:        28 |         28 |                   grpc._cython.asyncio
import time:        32 |         32 |                   grpc._cython.collections
import time:        39 |         39 |                   grpc._cython.pkgutil
import time:       342 |        342 |                   pkgutil
import time:        37 |         37 |                   grpc._cython.errno
import time:        30 |         30 |                   grpc._cython.contextvars
import time:        27 |         27 |                   grpc._cython.contextvars
import time:        33 |         33 |                   grpc._cython.platform
import time:        28 |         28 |                   grpc._cython.socket
import time:        27 |         27 |                   grpc._cython.ipaddress
import time:        27 |         27 |                   grpc._cython.socket
import time:        31 |         31 |                   grpc._cython.socket
import time:        29 |         29 |                   grpc._cython.enum
import time:        35 |         35 |                   grpc._cython.inspect
import time:        34 |         34 |                   grpc._cython.traceback
import time:        28 |         28 |                   grpc._cython.functools
import time:      2502 |       3609 |                 grpc._cython.cygrpc
import time:        94 |         94 |                 grpc._compression
import time:        80 |         80 |                 grpc._grpcio_metadata
import time:       133 |        133 |                   grpc_tools
import time:       116 |        248 |                 grpc._runtime_protos
import time:       124 |        124 |                 grpc_tools
import time:       121 |        121 |                 grpc_health
import time:       122 |        122 |                 grpc_reflection
import time:      1624 |       6144 |               grpc
import time:       695 |       7204 |             google.api_core.exceptions
import time:       187 |        187 |                   pytz.exceptions
import time:       193 |        193 |                   pytz.lazy
import time:       180 |        180 |                   pytz.tzinfo
import time:       108 |        108 |                   pytz.tzfile
import time:       547 |       1213 |                 pytz
import time:       103 |        103 |                 google.protobuf
import time:        93 |         93 |                     google.protobuf.internal
import time:        84 |         84 |                       google.protobuf.internal._api_implementation
import time:        34 |         34 |                       google.protobuf.enable_deterministic_proto_serialization
import time:       161 |        278 |                     google.protobuf.internal.api_implementation
import time:        89 |         89 |                     google.protobuf.pyext
import time:       347 |        347 |                       google.protobuf.internal.containers
import time:       145 |        145 |                       google.protobuf.internal.enum_type_wrapper
import time:       164 |        164 |                       google.protobuf.message
import time:      1708 |       2362 |                     google.protobuf.pyext._message
import time:       385 |       3205 |                   google.protobuf.descriptor
import time:       133 |        133 |                         google.protobuf.descriptor_database
import time:       339 |        339 |                         google.protobuf.text_encoding
import time:       281 |        752 |                       google.protobuf.descriptor_pool
import time:       106 |        106 |                       google.protobuf.pyext.cpp_message
import time:       140 |        996 |                     google.protobuf.message_factory
import time:       118 |        118 |                     google.protobuf.symbol_database
import time:       105 |       1219 |                   google.protobuf.reflection
import time:       337 |        337 |                   google.protobuf.internal.well_known_types
import time:       235 |       4995 |                 google.protobuf.timestamp_pb2
import time:       474 |       6784 |               google.api_core.datetime_helpers
import time:        91 |         91 |               google.api_core.general_helpers
import time:       120 |        120 |                 google.auth.version
import time:        84 |         84 |                   google.auth.environment_vars
import time:       189 |        189 |                   google.auth.exceptions
import time:       152 |        152 |                     google.auth.transport
import time:       252 |        403 |                   google.auth.transport._http_client
import time:       163 |        837 |                 google.auth._default
import time:       120 |       1077 |               google.auth
import time:       170 |       8120 |             google.api_core.retry
import time:       110 |        110 |               google.cloud.storage.version
import time:       257 |        257 |                 email.generator
import time:        97 |         97 |                   email.mime
import time:     11741 |      11741 |                           email._header_value_parser
import time:       402 |      12142 |                         email.headerregistry
import time:       271 |        271 |                         email.contentmanager
import time:       278 |      12690 |                       email.policy
import time:       111 |      12800 |                     email.mime.base
import time:       105 |      12905 |                   email.mime.nonmultipart
import time:       145 |      13146 |                 email.mime.application
import time:       122 |        122 |                 email.mime.multipart
import time:       612 |        612 |                     google.auth.transport._mtls_helper
import time:       103 |        103 |                     google.oauth2
import time:       118 |        118 |                       google.auth._helpers
import time:       199 |        199 |                           google.auth.crypt.base
import time:       383 |        383 |                               cryptography.hazmat.primitives.hashes
import time:       495 |        495 |                                 cryptography.hazmat.primitives._serialization
import time:       128 |        128 |                                     cryptography.hazmat.primitives.asymmetric
import time:       223 |        223 |                                         cryptography.hazmat._der
import time:       118 |        341 |                                       cryptography.hazmat.primitives.asymmetric.utils
import time:       269 |        609 |                                     cryptography.hazmat.primitives.asymmetric.dsa
import time:       109 |        109 |                                       cryptography.hazmat._oid
import time:       628 |        736 |                                     cryptography.hazmat.primitives.asymmetric.ec
import time:       138 |        138 |                                     cryptography.hazmat.primitives.asymmetric.ed25519
import time:       128 |        128 |                                     cryptography.hazmat.primitives.asymmetric.ed448
import time:       104 |        104 |                                       cryptography.hazmat.primitives._asymmetric
import time:       260 |        364 |                                     cryptography.hazmat.primitives.asymmetric.rsa
import time:       168 |       2268 |                                   cryptography.hazmat._types
import time:       277 |        277 |                                   cryptography.hazmat.primitives.asymmetric.dh
import time:       143 |       2687 |                                 cryptography.hazmat.primitives.serialization.base
import time:       158 |        158 |                                     bcrypt._bcrypt
import time:        94 |         94 |                                     bcrypt.__about__
import time:       244 |        495 |                                   bcrypt
import time:       550 |       1045 |                                 cryptography.hazmat.primitives.serialization.ssh
import time:       121 |       4346 |                               cryptography.hazmat.primitives.serialization
import time:       213 |        213 |                               cryptography.hazmat.primitives.asymmetric.padding
import time:       272 |        272 |                                 cryptography.x509.certificate_transparency
import time:        89 |         89 |                                     cryptography.hazmat.primitives.constant_time
import time:       574 |        574 |                                         cryptography.x509.oid
import time:       359 |        932 |                                       cryptography.x509.name
import time:       284 |       1215 |                                     cryptography.x509.general_name
import time:      1587 |       2890 |                                   cryptography.x509.extensions
import time:       491 |       3380 |                                 cryptography.x509.base
import time:       195 |       3845 |                               cryptography.x509
import time:       110 |        110 |                                     cryptography.hazmat.backends.openssl.aead
import time:       470 |        470 |                                     cryptography.hazmat.backends.openssl.ciphers
import time:       124 |        124 |                                     cryptography.hazmat.backends.openssl.cmac
import time:       249 |        249 |                                     cryptography.hazmat.backends.openssl.decode_asn1
import time:       176 |        176 |                                     cryptography.hazmat.backends.openssl.dh
import time:        99 |         99 |                                       cryptography.hazmat.backends.openssl.utils
import time:       211 |        309 |                                     cryptography.hazmat.backends.openssl.dsa
import time:       211 |        211 |                                     cryptography.hazmat.backends.openssl.ec
import time:       195 |        195 |                                     cryptography.hazmat.backends.openssl.ed25519
import time:       139 |        139 |                                     cryptography.hazmat.backends.openssl.ed448
import time:       199 |        199 |                                     cryptography.hazmat.backends.openssl.encode_asn1
import time:       126 |        126 |                                     cryptography.hazmat.backends.openssl.hashes
import time:       118 |        118 |                                     cryptography.hazmat.backends.openssl.hmac
import time:       333 |        333 |                                         cryptography.hazmat.backends.openssl.rsa
import time:       951 |       1283 |                                       cryptography.hazmat.backends.openssl.x509
import time:       571 |        571 |                                       cryptography.x509.ocsp
import time:       219 |       2072 |                                     cryptography.hazmat.backends.openssl.ocsp
import time:       114 |        114 |                                     cryptography.hazmat.backends.openssl.poly1305
import time:       131 |        131 |                                       cryptography.hazmat.primitives.asymmetric.x25519
import time:       522 |        652 |                                     cryptography.hazmat.backends.openssl.x25519
import time:       131 |        131 |                                       cryptography.hazmat.primitives.asymmetric.x448
import time:       138 |        268 |                                     cryptography.hazmat.backends.openssl.x448
import time:        98 |         98 |                                     cryptography.hazmat.bindings.openssl
import time:       280 |        280 |                                       cryptography.hazmat.bindings._openssl
import time:       145 |        145 |                                       cryptography.hazmat.bindings.openssl._conditional
import time:      2115 |       2539 |                                     cryptography.hazmat.bindings.openssl.binding
import time:       131 |        131 |                                     cryptography.hazmat.primitives.kdf
import time:       159 |        159 |                                     cryptography.hazmat.primitives.kdf.scrypt
import time:       287 |        287 |                                     cryptography.hazmat.primitives.serialization.pkcs7
import time:      3536 |      12269 |                                   cryptography.hazmat.backends.openssl.backend
import time:       107 |      12376 |                                 cryptography.hazmat.backends.openssl
import time:        12 |      12388 |                               cryptography.hazmat.backends.openssl.backend
import time:       177 |      21350 |                             google.auth.crypt._cryptography_rsa
import time:        94 |      21444 |                           google.auth.crypt.rsa
import time:       168 |        168 |                           google.auth.crypt.es256
import time:       139 |      21948 |                         google.auth.crypt
import time:        98 |      22045 |                       google.auth._service_account_info
import time:       236 |        236 |                       google.auth.credentials
import time:       142 |        142 |                           cachetools.keys
import time:       478 |        619 |                         cachetools
import time:       217 |        835 |                       google.auth.jwt
import time:       128 |        128 |                       google.oauth2._client
import time:       274 |      23634 |                     google.oauth2.service_account
import time:       261 |      24608 |                   google.auth.transport.requests
import time:       227 |        227 |                   google.protobuf.duration_pb2
import time:       160 |        160 |                   google.auth.transport.grpc
import time:       244 |      25238 |                 google.cloud._helpers
import time:       591 |        591 |                       grpc._simple_stubs
import time:       161 |        751 |                     grpc.experimental
import time:       143 |        143 |                     grpc._common
import time:       586 |       1479 |                   grpc._channel
import time:       114 |       1592 |                 google.cloud.exceptions
import time:       101 |        101 |                         xml.parsers
import time:       129 |        229 |                       xml.parsers.expat
import time:       921 |       1150 |                     plistlib
import time:       168 |        168 |                     pkg_resources.extern
import time:        90 |         90 |                         pkg_resources._vendor
import time:       184 |        273 |                       pkg_resources._vendor.appdirs
import time:        83 |        356 |                     pkg_resources.extern.appdirs
import time:       119 |        119 |                         pkg_resources._vendor.packaging.__about__
import time:        99 |        218 |                       pkg_resources._vendor.packaging
import time:        49 |        266 |                     pkg_resources.extern.packaging
import time:       159 |        159 |                       pkg_resources.extern.packaging._structures
import time:        84 |         84 |                       pkg_resources.extern.packaging._typing
import time:      1880 |       2122 |                     pkg_resources.extern.packaging.version
import time:        97 |         97 |                       pkg_resources.extern.packaging._compat
import time:       143 |        143 |                       pkg_resources.extern.packaging.utils
import time:      4673 |       4912 |                     pkg_resources.extern.packaging.specifiers
import time:       258 |        258 |                           pprint
import time:     10015 |      10272 |                         pkg_resources._vendor.pyparsing
import time:        58 |      10329 |                       pkg_resources.extern.pyparsing
import time:       874 |        874 |                       pkg_resources.extern.packaging.markers
import time:      5968 |      17169 |                     pkg_resources.extern.packaging.requirements
import time:       342 |        342 |                     sysconfig
import time:     74453 |     100934 |                   pkg_resources
import time:       320 |        320 |                     google.api_core.client_info
import time:        92 |         92 |                     google.cloud.version
import time:       192 |        602 |                   google.cloud._http
import time:       144 |     101680 |                 google.cloud.storage._http
import time:        94 |         94 |                 google.cloud.storage.constants
import time:       232 |     142359 |               google.cloud.storage.batch
import time:       158 |        158 |                   google.resumable_media.common
import time:       109 |        267 |                 google.resumable_media
import time:       151 |        151 |                       google.resumable_media._helpers
import time:       304 |        454 |                     google.resumable_media._download
import time:       122 |        122 |                     google.resumable_media.requests._request_helpers
import time:       224 |        800 |                   google.resumable_media.requests.download
import time:       384 |        384 |                     google.resumable_media._upload
import time:       176 |        559 |                   google.resumable_media.requests.upload
import time:       108 |       1466 |                 google.resumable_media.requests
import time:       173 |        173 |                 google.api_core.iam
import time:       129 |        129 |                   google.cloud.storage.retry
import time:       170 |        298 |                 google.cloud.storage._helpers
import time:       244 |        244 |                 google.cloud.storage._signing
import time:       220 |        220 |                 google.cloud.storage.acl
import time:       198 |        198 |                 google.cloud.storage.fileio
import time:       484 |       3346 |               google.cloud.storage.blob
import time:       378 |        378 |                 google.cloud.storage.notification
import time:       531 |        909 |               google.cloud.storage.bucket
import time:       101 |        101 |                 google.api_core.client_options
import time:       207 |        207 |                 google.api_core.page_iterator
import time:       178 |        178 |                 google.cloud.client
import time:       131 |        131 |                 google.cloud.storage.hmac_key
import time:       241 |        857 |               google.cloud.storage.client
import time:       158 |     147735 |             google.cloud.storage
import time:       275 |     163332 |           determined.common.storage.gcs
import time:        39 |         39 |                     six.moves.queue
import time:       163 |        202 |                   hdfs.util
import time:       250 |        250 |                         multiprocessing.process
import time:       198 |        198 |                           array
import time:       237 |        435 |                         multiprocessing.reduction
import time:       441 |       1125 |                       multiprocessing.context
import time:       199 |       1323 |                     multiprocessing
import time:       215 |        215 |                     multiprocessing.util
import time:       155 |        155 |                       _multiprocessing
import time:       138 |        138 |                       _winapi
import time:       333 |        624 |                     multiprocessing.connection
import time:       364 |       2524 |                   multiprocessing.pool
import time:       552 |       3277 |                 hdfs.client
import time:       249 |        249 |                   imp
import time:       492 |        492 |                   logging.handlers
import time:        32 |         32 |                   six.moves.configparser
import time:       203 |        975 |                 hdfs.config
import time:       177 |       4428 |               hdfs
import time:        12 |       4440 |             hdfs.client
import time:       142 |       4581 |           determined.common.storage.hdfs
import time:       424 |        424 |                   botocore
import time:        92 |         92 |                       botocore.vendored
import time:       655 |        655 |                       botocore.vendored.six
import time:       397 |        397 |                                     botocore.vendored.requests.packages.urllib3.exceptions
import time:       128 |        525 |                                   botocore.vendored.requests.packages.urllib3
import time:       100 |        624 |                                 botocore.vendored.requests.packages
import time:        14 |        638 |                               botocore.vendored.requests.packages.urllib3
import time:        20 |        657 |                             botocore.vendored.requests.packages.urllib3.exceptions
import time:       346 |       1003 |                           botocore.vendored.requests.exceptions
import time:        98 |       1101 |                         botocore.vendored.requests
import time:      1350 |       2450 |                       botocore.exceptions
import time:       113 |        113 |                           dateutil._version
import time:       165 |        278 |                         dateutil
import time:       166 |        166 |                           dateutil.tz._common
import time:       143 |        143 |                           dateutil.tz._factories
import time:        29 |         29 |                             six.moves.winreg
import time:       143 |        171 |                           dateutil.tz.win
import time:       503 |        982 |                         dateutil.tz.tz
import time:       123 |       1382 |                       dateutil.tz
import time:        32 |         32 |                       botocore.vendored.six.moves
import time:       109 |        109 |                       xml.etree.cElementTree
import time:       133 |        133 |                         awscrt
import time:        12 |        144 |                       awscrt.auth
import time:       212 |       5074 |                     botocore.compat
import time:       193 |       5266 |                   botocore.configloader
import time:       110 |        110 |                           dateutil._common
import time:       156 |        265 |                         dateutil.relativedelta
import time:       578 |        842 |                       dateutil.parser._parser
import time:       229 |        229 |                       dateutil.parser.isoparser
import time:       170 |       1240 |                     dateutil.parser
import time:       119 |        119 |                                       OpenSSL._util
import time:       873 |        991 |                                     OpenSSL.crypto
import time:       560 |        560 |                                     OpenSSL.SSL
import time:        91 |         91 |                                     OpenSSL.version
import time:       177 |       1817 |                                   OpenSSL
import time:        12 |       1828 |                                 OpenSSL.SSL
import time:        40 |         40 |                                 cryptography.x509.UnsupportedExtension
import time:        98 |         98 |                                   urllib3.packages.backports
import time:       122 |        219 |                                 urllib3.packages.backports.makefile
import time:       254 |       2340 |                               urllib3.contrib.pyopenssl
import time:        34 |         34 |                               botocore.vendored.six.moves.urllib_parse
import time:       437 |       2810 |                             botocore.httpsession
import time:        28 |         28 |                               botocore.vendored.six.moves.urllib
import time:        33 |         61 |                             botocore.vendored.six.moves.urllib.request
import time:      1162 |       4031 |                           botocore.utils
import time:       345 |       4376 |                         botocore.awsrequest
import time:       291 |        291 |                         botocore.hooks
import time:       123 |        123 |                         botocore.history
import time:       300 |        300 |                             botocore.eventstream
import time:       447 |        747 |                           botocore.parsers
import time:       137 |        883 |                         botocore.response
import time:       174 |       5847 |                       botocore.endpoint
import time:       136 |       5982 |                     botocore.config
import time:       817 |       8039 |                   botocore.credentials
import time:       101 |        101 |                               jmespath.compat
import time:       240 |        341 |                             jmespath.exceptions
import time:       190 |        531 |                           jmespath.lexer
import time:       102 |        102 |                           jmespath.ast
import time:       337 |        337 |                             jmespath.functions
import time:       200 |        537 |                           jmespath.visitor
import time:       262 |       1430 |                         jmespath.parser
import time:       172 |       1602 |                       jmespath
import time:       328 |        328 |                             botocore.docs.utils
import time:       150 |        150 |                                   botocore.docs.shape
import time:       159 |        309 |                                 botocore.docs.params
import time:       152 |        152 |                                 botocore.docs.example
import time:       116 |        576 |                               botocore.docs.method
import time:       184 |        184 |                               botocore.docs.sharedexample
import time:       177 |        937 |                             botocore.docs.client
import time:       120 |        120 |                             botocore.docs.waiter
import time:       117 |        117 |                             botocore.docs.paginator
import time:        88 |         88 |                               botocore.docs.bcdoc
import time:       513 |        513 |                                   _markupbase
import time:      1999 |       2512 |                                 html.parser
import time:       200 |       2712 |                               botocore.docs.bcdoc.docstringparser
import time:       198 |        198 |                               botocore.docs.bcdoc.style
import time:       193 |       3189 |                             botocore.docs.bcdoc.restdoc
import time:       171 |       4858 |                           botocore.docs.service
import time:       104 |       4962 |                         botocore.docs
import time:       156 |       5117 |                       botocore.docs.docstring
import time:       196 |       6914 |                     botocore.waiter
import time:       177 |        177 |                         botocore.validate
import time:       340 |        516 |                       botocore.serialize
import time:       343 |        343 |                         botocore.auth
import time:       198 |        540 |                       botocore.signers
import time:       162 |       1218 |                     botocore.args
import time:       435 |        435 |                     botocore.model
import time:       235 |        235 |                     botocore.paginate
import time:       218 |        218 |                     botocore.discovery
import time:        94 |         94 |                     botocore.retries
import time:       106 |        106 |                       botocore.retries.quota
import time:       101 |        101 |                         botocore.retries.base
import time:       124 |        224 |                       botocore.retries.special
import time:       375 |        704 |                     botocore.retries.standard
import time:       126 |        126 |                       botocore.retries.bucket
import time:       178 |        178 |                       botocore.retries.throttling
import time:       147 |        450 |                     botocore.retries.adaptive
import time:       311 |      10575 |                   botocore.client
import time:       297 |        297 |                   botocore.configprovider
import time:       130 |        130 |                   botocore.errorfactory
import time:       213 |        213 |                     botocore.retryhandler
import time:        96 |         96 |                     botocore.translate
import time:      1245 |       1553 |                   botocore.handlers
import time:       192 |        192 |                   botocore.loaders
import time:       141 |        141 |                   botocore.regions
import time:       491 |        491 |                   botocore.monitoring
import time:       378 |      27479 |                 botocore.session
import time:       200 |        200 |                 boto3.utils
import time:       296 |        296 |                 boto3.exceptions
import time:        91 |         91 |                   boto3.resources
import time:       159 |        159 |                     boto3.resources.params
import time:       126 |        126 |                     boto3.resources.response
import time:       218 |        218 |                     boto3.resources.model
import time:       107 |        107 |                           boto3.docs.client
import time:       145 |        145 |                             boto3.docs.base
import time:        91 |         91 |                               boto3.docs.method
import time:       122 |        122 |                               boto3.docs.utils
import time:       122 |        334 |                             boto3.docs.action
import time:       113 |        113 |                             boto3.docs.waiter
import time:       129 |        129 |                             boto3.docs.collection
import time:       114 |        114 |                             boto3.docs.subresource
import time:       106 |        106 |                             boto3.docs.attr
import time:       182 |       1119 |                           boto3.docs.resource
import time:       171 |       1396 |                         boto3.docs.service
import time:       105 |       1501 |                       boto3.docs
import time:       207 |       1708 |                     boto3.docs.docstring
import time:       173 |       2383 |                   boto3.resources.action
import time:       128 |        128 |                   boto3.resources.base
import time:       171 |        171 |                   boto3.resources.collection
import time:       217 |       2988 |                 boto3.resources.factory
import time:       189 |      31150 |               boto3.session
import time:       104 |        104 |               boto3.compat
import time:       202 |      31456 |             boto3
import time:       156 |        156 |             determined.common.storage.boto3_credential_manager
import time:       172 |      31783 |           determined.common.storage.s3
import time:       133 |        133 |           determined.common.storage.shared
import time:       163 |     300607 |         determined.common.storage
import time:        94 |         94 |         determined.common._logging
import time:       142 |     409296 |       determined.common
import time:       139 |     417446 |     determined._env_context
import time:       109 |        109 |     determined._rendezvous_info
import time:       180 |        180 |       determined.constants
import time:       199 |        199 |           _csv
import time:       281 |        479 |         csv
import time:       287 |        765 |       determined.gpu
import time:       156 |        156 |         determined._experiment_config
import time:       171 |        327 |       determined.horovod
import time:       239 |       1510 |     determined._execution
import time:      1871 |       1871 |           psutil._common
import time:       173 |        173 |           psutil._compat
import time:       842 |        842 |             psutil._psposix
import time:       108 |        108 |             psutil._psutil_linux
import time:        85 |         85 |             psutil._psutil_posix
import time:       154 |        154 |             resource
import time:      2278 |       3465 |           psutil._pslinux
import time:       821 |       6328 |         psutil
import time:       350 |        350 |             _ctypes
import time:       193 |        193 |             ctypes._endian
import time:       694 |       1237 |           ctypes
import time:        78 |         78 |           zmq.libzmq
import time:       117 |        117 |             zmq.backend.select
import time:       411 |        411 |             zmq.backend.cython.constants
import time:       122 |        122 |             zmq.backend.cython.error
import time:       257 |        257 |               zmq.error
import time:       167 |        424 |             zmq.backend.cython.message
import time:       144 |        144 |             zmq.backend.cython.context
import time:       138 |        138 |               cPickle
import time:       251 |        388 |             zmq.backend.cython.socket
import time:       116 |        116 |             zmq.backend.cython.utils
import time:       132 |        132 |             zmq.backend.cython._poll
import time:       105 |        105 |             zmq.backend.cython._version
import time:       126 |        126 |             zmq.backend.cython._device
import time:       124 |        124 |             zmq.backend.cython._proxy_steerable
import time:       348 |       2551 |           zmq.backend
import time:        88 |         88 |                 zmq.utils
import time:       185 |        273 |               zmq.utils.constant_names
import time:       265 |        538 |             zmq.sugar.constants
import time:       118 |        118 |               zmq.sugar.attrsettr
import time:       161 |        161 |                 zmq.sugar.poll
import time:       134 |        134 |                 zmq.utils.jsonapi
import time:        88 |         88 |                 zmq.utils.strtypes
import time:       244 |        626 |               zmq.sugar.socket
import time:       216 |        958 |             zmq.sugar.context
import time:       123 |        123 |             zmq.sugar.frame
import time:       169 |        169 |             zmq.sugar.tracker
import time:       143 |        143 |             zmq.sugar.version
import time:       102 |        102 |             zmq.sugar.stopwatch
import time:       192 |       2223 |           zmq.sugar
import time:       345 |       6431 |         zmq
import time:       556 |      13314 |       determined.ipc
import time:       292 |      13605 |     determined._train_context
import time:       173 |        173 |                 numpy._globals
import time:        98 |         98 |                 numpy.__config__
import time:        85 |         85 |                 numpy.version
import time:        78 |         78 |                 numpy._distributor_init
import time:      3825 |       3825 |                       numpy.core._multiarray_umath
import time:       204 |        204 |                           numpy.compat._inspect
import time:       213 |        213 |                             pickle5
import time:       188 |        401 |                           numpy.compat.py3k
import time:       199 |        803 |                         numpy.compat
import time:        21 |        824 |                       numpy.compat._inspect
import time:       382 |       5030 |                     numpy.core.overrides
import time:      1899 |       6928 |                   numpy.core.multiarray
import time:       187 |        187 |                   numpy.core.umath
import time:       165 |        165 |                     numpy.core._string_helpers
import time:       166 |        166 |                       numpy.core._dtype
import time:       463 |        628 |                     numpy.core._type_aliases
import time:       347 |       1139 |                   numpy.core.numerictypes
import time:       217 |        217 |                       numpy.core._asarray
import time:       402 |        402 |                           numpy.core._exceptions
import time:       222 |        623 |                         numpy.core._methods
import time:      3157 |       3779 |                       numpy.core.fromnumeric
import time:       691 |       4686 |                     numpy.core.shape_base
import time:       208 |        208 |                     numpy.core._ufunc_config
import time:       813 |        813 |                     numpy.core.arrayprint
import time:      1790 |       7496 |                   numpy.core.numeric
import time:      3961 |       3961 |                   numpy.core.defchararray
import time:       383 |        383 |                   numpy.core.records
import time:       190 |        190 |                   numpy.core.memmap
import time:       449 |        449 |                   numpy.core.function_base
import time:       162 |        162 |                   numpy.core.machar
import time:       270 |        270 |                   numpy.core.getlimits
import time:       397 |        397 |                   numpy.core.einsumfunc
import time:       244 |        244 |                     numpy.core._multiarray_tests
import time:      1656 |       1899 |                   numpy.core._add_newdocs
import time:       179 |        179 |                   numpy.core._dtype_ctypes
import time:        92 |         92 |                       _ast
import time:       454 |        546 |                     ast
import time:       868 |       1413 |                   numpy.core._internal
import time:       162 |        162 |                   numpy._pytesttester
