import time: self [us] | cumulative | imported package
import time:       152 |        152 |                                   select
import time:       592 |        743 |                                 selectors
import time:      1586 |       2329 |                               socket
import time:      2350 |       5840 |                             ssl
import time:       124 |       5963 |                           urllib3.packages.ssl_match_hostname
import time:       104 |       6066 |                         urllib3.packages
import time:       634 |       6700 |                       urllib3.packages.six
import time:        34 |       6734 |                     urllib3.packages.six.moves
import time:       679 |        679 |                       http
import time:       141 |        141 |                         email
import time:       378 |        378 |                           email.errors
import time:       202 |        202 |                               email.quoprimime
import time:       101 |        101 |                               email.base64mime
import time:       156 |        156 |                                   quopri
import time:        99 |        254 |                                 email.encoders
import time:       148 |        402 |                               email.charset
import time:       625 |       1328 |                             email.header
import time:       377 |        377 |                                 calendar
import time:       173 |        549 |                               email._parseaddr
import time:       375 |        924 |                             email.utils
import time:       227 |       2478 |                           email._policybase
import time:       589 |       3444 |                         email.feedparser
import time:       191 |       3776 |                       email.parser
import time:       165 |        165 |                         uu
import time:       213 |        213 |                         email._encoded_words
import time:       103 |        103 |                         email.iterators
import time:       409 |        888 |                       email.message
import time:       739 |       6081 |                     http.client
import time:        43 |      12857 |                   urllib3.packages.six.moves.http_client
import time:       663 |      13519 |                 urllib3.exceptions
import time:        90 |         90 |                 urllib3._version
import time:        86 |         86 |                           urllib3.contrib
import time:       118 |        118 |                           urllib3.contrib._appengine_environ
import time:       111 |        111 |                           urllib3.util.wait
import time:       196 |        509 |                         urllib3.util.connection
import time:       127 |        127 |                           brotli
import time:       107 |        234 |                         urllib3.util.request
import time:        95 |         95 |                         urllib3.util.response
import time:       281 |        281 |                         urllib3.util.retry
import time:       210 |        210 |                           hmac
import time:      9130 |       9130 |                           urllib3.util.url
import time:       142 |        142 |                           urllib3.util.ssltransport
import time:       513 |       9993 |                         urllib3.util.ssl_
import time:       121 |        121 |                         urllib3.util.timeout
import time:       143 |      11374 |                       urllib3.util
import time:        92 |      11466 |                     urllib3.util.proxy
import time:       183 |        183 |                     urllib3._collections
import time:       291 |      11938 |                   urllib3.connection
import time:       142 |        142 |                     _queue
import time:       271 |        413 |                   queue
import time:       125 |        125 |                           winreg
import time:       223 |        347 |                         mimetypes
import time:       143 |        489 |                       urllib3.fields
import time:       102 |        590 |                     urllib3.filepost
